videoid,category,channel name,viewcount,likes,userid
4COJmCaMxXg,Entertainment,BehindwoodsTV,7811058,3157,1
jlq9yjDUZN8,Film & Animation,N - Isai,1837246,1029,1
uxV1_-7WrgU,People & Blogs,Mini Time,487743,275,1
naQXCgKgsXM,Howto & Style,Howcast,109503,36,1
4eIBisqx9_g,Education,Siraj Raval,592594,466,1
b-p3MDXJkrw,Science & Technology,Red Stapler,10576,6,1
eYrRVu7T12Y,Entertainment,IndiaGlitz Tamil Movies | Interviews | Shooting Spot | Review | Gossip,962511,304,1
HVsySz-h9r4,Education,Corey Schafer,787358,144,1
OdbBmvfThJY,Science & Technology,Telusko,323303,163,1
jvZL7oTTtR8,People & Blogs,Praveen Reddy,39234,26,1
1jkszm02PbY,People & Blogs,SRI KRISHNA COLLEGE OF ENGINEERING AND TECHNOLOGY,27266,17,1
xbQDdCN6IBg,Science & Technology,Freshservice,1862,0,1
TDynSmrzpXw,Education,Guru99,579706,38,1
jSZ9jQy1sfE,Education,Rushdi Shams,25998,1,1
w06KRjtufsE,Education,HowTo,36468,6,1
4c9s3gNn-VY,People & Blogs,Ziyad Beg,4779,5,1
1xEMPm2Hp_4,Entertainment,Black Sheep,1074761,4165,1
kurYPREl2dQ,Entertainment,Cinema Vikatan,2573803,1211,1
0LqSqnkTzxI,Entertainment,Zee Tamil,11499911,6272,1
EZ1YCFn1TR4,Film & Animation,Tamil Film Junction,3055570,1793,1
QVgSyvzmbxw,Music,Think Music India,95317194,37048,1
bbMLUadeMnA,Entertainment,Sun TV,15293549,45372,1
UvQ9y4w8unE,Entertainment,Sun TV,25029842,25222,1
zEv5_YspYRk,People & Blogs,MR Creationz,23708,8,1
_IuJsaMqtqc,Music,SonyMusicSouthVEVO,6871655,1674,1
2X-UY1BMqSk,Film & Animation,18BTamilCinema,9582,1,1
0xVqLJe9_CY,Education,Siraj Raval,168435,135,1
Q-BpqyOT3a8,Science & Technology,Traversy Media,610907,190,1
Im69kzhpR3I,Science & Technology,Google Developers,333018,102,1
hd1W4CyPX58,Education,Data School,147805,23,1
MN1F7X8i7sQ,Howto & Style,Derral Eves,61411,69,1
pDPdTc6p7_g,Science & Technology,Technique Duniya,56972,46,1
8xTK_f0WUTw,Howto & Style,DevNami,571,0,1
9TUS_W0cePw,Howto & Style,DevNami,758,0,1
2rlMNJa_4Z0,Howto & Style,DevNami,1442,0,1
atNFx56UrWs,Howto & Style,DevNami,601,0,1
1csfuyxfaCM,Howto & Style,DevNami,758,0,1
tNYEedSem1g,Howto & Style,DevNami,563,0,1
I6xFINBy8jU,Howto & Style,DevNami,523,0,1
3ZPywGdT8Ok,Howto & Style,DevNami,797,0,1
Cv86JTOdJFo,Howto & Style,DevNami,333,0,1
ka5rioDPp0o,Howto & Style,DevNami,374,0,1
LG4uuy_xYLg,Howto & Style,DevNami,760,0,1
9vL3EjTn34E,Howto & Style,DevNami,849,0,1
yMtUsS849Qg,Howto & Style,DevNami,887,0,1
kyQkoYTJ4mo,Howto & Style,DevNami,1032,0,1
_kk8fh3mlZ8,Howto & Style,DevNami,1597,0,1
gRlvn8zi7PY,Howto & Style,DevNami,1676,0,1
nWTR3xTe9iw,Howto & Style,DevNami,913,0,1
i487ttwqIe0,Howto & Style,DevNami,572,0,1
yx6XSu6Lyow,Howto & Style,DevNami,913,0,1
hdiJwvGylxM,Howto & Style,DevNami,1046,0,1
qFkPO7-o7ng,Howto & Style,DevNami,678,0,1
DTgWyvoDoZQ,Howto & Style,DevNami,963,0,1
i76omG1ENqo,Howto & Style,DevNami,964,0,1
YLpcLGxG_XE,Howto & Style,DevNami,1253,0,1
II02TV6pvf4,Howto & Style,DevNami,1595,0,1
ULyDUYoaqxE,Howto & Style,DevNami,1403,0,1
1EaXrdzvmJU,Howto & Style,DevNami,1439,0,1
-VOaEJvIip4,Howto & Style,DevNami,4610,0,1
R409XU7SSlY,Howto & Style,DevNami,6177,0,1
tcIqIIHmX_U,Science & Technology,Dhakad Tech,57748,62,1
4pGn5Y1qM9k,People & Blogs,Gyaan With Anand Nayyar,6529,6,1
x6Q7c9RyMzk,Music,Wunderbar Studios,239324413,139473,1
BU9TdMqLAIg,People & Blogs,Testing World,2490,3,1
lMhoz29A2Jg,Howto & Style,LinkedIn Learning,23131,28,1
bQKL2cYt2PI,Science & Technology,LabLIC,5803,2,1
ULyDUYoaqxE,Howto & Style,DevNami,1403,0,1
1EaXrdzvmJU,Howto & Style,DevNami,1439,0,1
-VOaEJvIip4,Howto & Style,DevNami,4610,0,1
R409XU7SSlY,Howto & Style,DevNami,6177,0,1
gB8OmhRJ0D8,Education,Shashi Lakshan,32737,24,1
bLxoZZ_EkL8,Education,Robert Attard,7674,8,1
XPamNWh9E5c,Education,Smartherd,22506,2,1
ULyDUYoaqxE,Howto & Style,DevNami,1403,0,1
ULyDUYoaqxE,Howto & Style,DevNami,1403,0,1
R409XU7SSlY,Howto & Style,DevNami,6177,0,1
TtvFh43JA8M,People & Blogs,LOOSER STUDIO,586,0,1
tdCk3NQC_FU,People & Blogs,LOOSER STUDIO,480,1,1
cD69UJeIZ_c,People & Blogs,LOOSER STUDIO,599,0,1
II02TV6pvf4,Howto & Style,DevNami,1595,0,1
Yn4xfvGaau8,Howto & Style,DevNami,7724,0,1
BU9TdMqLAIg,People & Blogs,Testing World,2490,3,1
CriSHYMtg9M,Science & Technology,SNSSB TECH(SN SABH SIKH BABA),7683,16,1
kcYc9SQ7JjY,People & Blogs,Testing World,609,0,1
siyDNe7SPZU,People & Blogs,Testing World,549,0,1
0oc1QJmyPB8,People & Blogs,Testing World,889,1,1
P_aDrH_gxs4,Entertainment,Gary Huston,7636094,3713,1
6snR8lupF5E,People & Blogs,Code World,4767,0,1
tI8ijLpZaHk,Science & Technology,Hitesh Choudhary,606595,792,1
gxJyevFd9FE,Science & Technology,TubeMint,29953,14,1
4pGn5Y1qM9k,People & Blogs,Gyaan With Anand Nayyar,6529,6,1
gxJyevFd9FE,Science & Technology,TubeMint,29953,14,1
EiGl2Ag35AI,Education,ProgrammingKnowledge,119149,42,1
c4ybC5bUA7U,Education,edureka!,2541,3,1
